Additive?,V1,V2,V3,sParamIndex,Social?
FALSE,,,1,1,social
FALSE,1,,1,1,social
NA,,,1,1,asocial
TRUE,,,1,1,social
NA,1,,1,1,asocial
TRUE,1,,1,1,social
NA,,,,1,asocial
NA,,,,1,social
NA,1,,,1,asocial
FALSE,1,,,1,social
TRUE,1,,,1,social
